license_uuid;user_uuid;product_uuid;purchase_date;termination_date
ce26b9ea-71bd-412e-b265-aae1d509a4d7;a802857b-d3d8-40a5-892c-22a136beb9e1;5142862b-bedf-4860-9485-41efe7c49795;3/1/21;
487dd314-b725-4423-8496-49ea0840ba11;cb57ea43-4c86-4666-9526-3a988de5e803;d04791a5-8051-451f-a263-0ee2feb45dbc;4/1/21;
b0513c76-24a2-4c1d-884f-4e791565deed;891d2268-495d-4222-9df9-9108df09e3a7;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;4/1/21;
8364e00b-db53-48fa-b013-65cc78299d56;c32def00-f032-403e-9879-e3b9877c2c8c;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;4/1/21;
8da6e77b-86b3-4375-8232-f614b0db269e;c240f063-26c6-4ff9-8d71-7ad6d410d2cd;85b34e6e-5596-4468-82c7-c509b08bed70;5/1/21;
3f8d722b-f6bf-48a5-b7b1-37681f4a2874;2590673c-ea13-4fc6-a880-d2d2253c8715;b7cda42d-75ce-4ef7-b76e-bc2f817fee28;6/1/21;5/7/21
4b3fc522-372b-439a-9c6f-8df2b89de905;f884ee36-7897-4f1b-a06c-8b85a1bfb6ed;85b34e6e-5596-4468-82c7-c509b08bed70;7/1/21;6/1/22
d91a4419-fa8f-4a73-820d-d60403e1dc20;de3c2233-754e-4a53-afff-70f06f44c79f;15c4ccc0-3c0c-416b-8790-70c2dce441a3;9/1/21;8/3/22
0efa9ef0-769c-4024-8fa0-da4653852f29;247f4164-22b6-4510-88cd-b52edb4d5dd7;15c4ccc0-3c0c-416b-8790-70c2dce441a3;11/1/21;
c8ce47f7-7e39-4e09-b9fc-4f6bdce52ec8;de3c2233-754e-4a53-afff-70f06f44c79f;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;14/1/21;13/5/21
ed7d9cb2-73d4-46ce-9a38-55d66bdc94f5;0c117da0-2dd5-4d54-8221-42e730177ad1;5142862b-bedf-4860-9485-41efe7c49795;14/1/21;
f012dbe8-5277-4972-bb49-ebe3b344a8eb;0c117da0-2dd5-4d54-8221-42e730177ad1;1a5b3582-db8e-49c8-b6e8-d82a8eabf321;15/1/21;14/10/21
3f67fb68-7e15-4dac-8ca5-37d196094c17;413653d2-36a3-49ae-af2a-ec105702af9e;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;16/1/21;
7d397fde-1775-4797-b41b-395f69556c2b;0d054e28-89c4-420f-848b-b9821e4cacaa;5142862b-bedf-4860-9485-41efe7c49795;16/1/21;
c1743dee-c5e0-408f-842c-e78e9b29de46;b4d9b6d0-859e-4192-83ff-79624a718768;85b34e6e-5596-4468-82c7-c509b08bed70;17/1/21;
8721caaa-a8cb-433f-8d30-a15888d9b9dd;746590c1-918a-4040-8a4e-ebe1fc472d7d;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;19/1/21;
1e7eceee-b5ae-4f69-84fe-5e15d56b5d02;8aa2f276-dd65-41cb-ac69-8df20afac7e3;d04791a5-8051-451f-a263-0ee2feb45dbc;20/1/21;
33ac4585-ce2b-47ca-9680-9d798f1f715d;4670f30d-ab03-4854-8a3b-128c2c263d5a;5142862b-bedf-4860-9485-41efe7c49795;26/1/21;
d3953d6b-2ed9-4212-bd17-2dc403c22d59;8a02cae0-38a5-42ff-9f2c-1e66d18f0b68;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;26/1/21;25/7/21
55d90645-4a35-4652-b3b5-d17446fc0b68;446d40c8-7048-4240-8892-e2431421e58b;d04791a5-8051-451f-a263-0ee2feb45dbc;27/1/21;26/9/21
303df43a-a683-4dab-b8b6-56420c870119;c555ac89-3860-46ed-af99-c8721488573c;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;27/1/21;
5913c4e0-3978-4040-baf8-93780bc9e089;782cffae-72d1-4cad-8fba-b4ec126f7eb7;d04791a5-8051-451f-a263-0ee2feb45dbc;29/1/21;28/6/21
69f54185-dc58-4a72-a1ac-92fef4d25a5c;39813d89-b0d1-4712-9b39-84ff1e72cdf2;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;30/1/21;
f5e990ce-6451-4267-8f2b-fd4c76adf8e1;bb552871-0db5-45e0-aa2e-dc8f7cdac54d;b7cda42d-75ce-4ef7-b76e-bc2f817fee28;1/2/21;31/12/21
a59c538b-c07c-459a-b41e-9789f353210e;8899e6c4-922e-4830-839f-ff4d88ae0378;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;2/2/21;
76455411-1cff-45b1-9628-a83c111db3ae;cb57ea43-4c86-4666-9526-3a988de5e803;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;2/2/21;1/12/21
77eb2b87-e349-47ed-a658-3050e79a4b60;092f49ce-a457-4a2f-aa13-731e4d2ace7d;a5e247b3-ac28-46e4-b791-a52837a19e1e;3/2/21;
78afde4d-8b7e-4b58-b50d-f9887745cbca;746590c1-918a-4040-8a4e-ebe1fc472d7d;d04791a5-8051-451f-a263-0ee2feb45dbc;3/2/21;
6f2abd8a-1162-4582-9805-a95cba4d1297;bb552871-0db5-45e0-aa2e-dc8f7cdac54d;85b34e6e-5596-4468-82c7-c509b08bed70;3/2/21;
2f47f35b-51b1-46ba-b972-affddb72adb7;31d7ce50-7ac6-4aff-8360-5c3d95e886e8;15c4ccc0-3c0c-416b-8790-70c2dce441a3;4/2/21;
f2c26ac6-8c75-43fd-b4bb-608afb12a74c;b12598c3-db80-4c6b-9ed0-b2e00d11ac26;d04791a5-8051-451f-a263-0ee2feb45dbc;5/2/21;
a176b94f-ebe8-488e-9423-bcc8048370ab;346e0c0c-3fc1-45ec-a781-f220ed1ef402;d04791a5-8051-451f-a263-0ee2feb45dbc;5/2/21;4/8/21
c5acd82b-a6d1-4215-b9b6-6ff7b3bf5caa;77fc1954-18c5-4435-bb45-a158d5ccc1f8;85b34e6e-5596-4468-82c7-c509b08bed70;6/2/21;
38e1e4e5-39be-439f-a86f-63d07db4b087;ddf65c4c-3d6c-463a-857d-b906db438b01;d04791a5-8051-451f-a263-0ee2feb45dbc;6/2/21;
d57a7b8b-6420-48a4-aefd-43ed7599762f;50f5be89-0f47-456c-8e9e-e8d5e1dc2182;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;7/2/21;6/12/21
b462d88e-e900-4a8b-bb4c-5ffcc5c4399e;79a6745d-5b2c-4950-9da0-538d43afed23;a5e247b3-ac28-46e4-b791-a52837a19e1e;8/2/21;
666ce850-d885-415a-94d6-4627d7a118e0;346e0c0c-3fc1-45ec-a781-f220ed1ef402;85b34e6e-5596-4468-82c7-c509b08bed70;9/2/21;
6b949dec-9c75-4241-93f5-ebf936fe2e2d;8aa2f276-dd65-41cb-ac69-8df20afac7e3;d04791a5-8051-451f-a263-0ee2feb45dbc;10/2/21;9/4/22
6bbfc4dc-aafa-433d-97ab-11aebe51e0af;39813d89-b0d1-4712-9b39-84ff1e72cdf2;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;11/2/21;
5e98bdc9-3409-431c-80e1-d75f4e6b3912;31d7ce50-7ac6-4aff-8360-5c3d95e886e8;85b34e6e-5596-4468-82c7-c509b08bed70;11/2/21;10/10/21
1acfdc39-9b2f-4921-aa0c-7bc3f045ad11;3307ed3b-bda5-4a42-86cb-48479671f7df;15c4ccc0-3c0c-416b-8790-70c2dce441a3;14/2/21;
bf40ea94-529f-4ec0-bb50-28a66e567f77;c76d3780-f40d-4cb1-87f1-a1ff8226f6d4;d04791a5-8051-451f-a263-0ee2feb45dbc;20/2/21;19/2/22
049e39af-8356-49d6-9f07-61dda8333192;40ec41ed-d9c1-46dc-bdfa-a4ffba70fa77;85b34e6e-5596-4468-82c7-c509b08bed70;25/2/21;24/1/22
08d0b78a-b9e5-4595-b86f-ee0739de93db;b4d9b6d0-859e-4192-83ff-79624a718768;d04791a5-8051-451f-a263-0ee2feb45dbc;6/3/21;
0df494dc-b91a-47e6-a33c-df28762df3ea;746590c1-918a-4040-8a4e-ebe1fc472d7d;85b34e6e-5596-4468-82c7-c509b08bed70;12/3/21;11/7/21
b50c1990-1baf-48cd-a32c-2738109b1672;9b087c6a-5fe1-4282-bbbf-e5a2c3e7da36;1a5b3582-db8e-49c8-b6e8-d82a8eabf321;14/3/21;
367ef076-3a96-416e-ac95-87b8604196c2;5ca323a8-9b42-4858-b5e7-284695904824;85b34e6e-5596-4468-82c7-c509b08bed70;17/3/21;16/2/22
08ebf0c3-604d-4b31-9efd-183121da7555;a18b4bae-9a41-4e12-a9f8-968534a834a0;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;20/3/21;
88fddb81-1a94-45aa-94c0-43026d4901ba;de4777da-926c-4785-8b93-f95f22c044c8;a5e247b3-ac28-46e4-b791-a52837a19e1e;20/3/21;
156471f9-d278-43d9-96d8-e6371e28f477;a79757fe-fd46-4602-9d7b-f937450c1b31;d04791a5-8051-451f-a263-0ee2feb45dbc;22/3/21;21/12/21
74eed12f-ccc2-4ef1-9c1d-521b06644f58;79a6745d-5b2c-4950-9da0-538d43afed23;85b34e6e-5596-4468-82c7-c509b08bed70;22/3/21;
6150d3d0-9414-492e-8d21-07e0ed91b877;460276b6-03e0-4965-9993-922e66659a7c;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;23/3/21;
c455b5d1-9944-4106-b1b1-b275a1f31ab3;8899e6c4-922e-4830-839f-ff4d88ae0378;d04791a5-8051-451f-a263-0ee2feb45dbc;23/3/21;22/9/21
ae348889-c572-4cfc-886c-20dbc74df63c;ed0947c6-b84d-451b-a58c-110cd63c925f;584a3ef0-6503-486f-8f3a-62bbcdac3515;24/3/21;
a48f5a4e-7cfb-436c-94b2-81073bcd88d5;ddf65c4c-3d6c-463a-857d-b906db438b01;85b34e6e-5596-4468-82c7-c509b08bed70;26/3/21;25/8/21
be13d915-83f9-43f2-abd5-25b0410e4a10;46766f62-87ba-4879-8148-fbac6eccd3d5;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;26/3/21;25/3/22
4f81f0ac-bd93-42ec-aa7a-2ee654e9e6e2;3b297f49-c31b-4fab-80f3-d0ae6f488353;85b34e6e-5596-4468-82c7-c509b08bed70;30/3/21;
b51b1391-db8c-4826-933c-53599508da22;0fd6ef07-cd52-4881-b3f8-91e01d4b2726;5142862b-bedf-4860-9485-41efe7c49795;1/4/21;
f57c3c47-79ff-472c-a596-4ba8565d143e;b2767ef9-2eb8-4f85-a532-9dfd9aef0058;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;1/4/21;28/2/22
2b8fb8a3-c941-4732-a50b-4aaf809a447c;56147622-3fb0-4295-8927-293e5b63a3b1;15c4ccc0-3c0c-416b-8790-70c2dce441a3;3/4/21;
21e4ee4e-37e2-4fd7-966d-7ceaf0134448;00ea56cb-aa92-4198-b132-d173191a2cf2;5142862b-bedf-4860-9485-41efe7c49795;4/4/21;3/9/21
1155a340-7e3e-4725-b459-21f342866b7b;89ef19ca-2553-441d-a60a-4b537471185e;85b34e6e-5596-4468-82c7-c509b08bed70;7/4/21;6/8/21
6ccf83c7-3371-4911-b21c-9df415609545;f6eb5b15-5015-43f1-8ec3-39195eaa2aa5;d04791a5-8051-451f-a263-0ee2feb45dbc;8/4/21;
137bff6a-5365-4638-94cc-8979482823f8;c32def00-f032-403e-9879-e3b9877c2c8c;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;9/4/21;
d16638cc-ed22-48e1-a327-1ea8ee3aa4d2;39813d89-b0d1-4712-9b39-84ff1e72cdf2;d04791a5-8051-451f-a263-0ee2feb45dbc;11/4/21;
cc17175f-a1ee-4263-a22f-18ab4eef6d1d;40ec41ed-d9c1-46dc-bdfa-a4ffba70fa77;15c4ccc0-3c0c-416b-8790-70c2dce441a3;12/4/21;
c4fca10d-a5c8-4d14-85a8-0e065ab0cf24;3307ed3b-bda5-4a42-86cb-48479671f7df;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;12/4/21;11/11/21
c8ad968a-9135-4297-b1f2-68e79821a4a1;a79757fe-fd46-4602-9d7b-f937450c1b31;b7cda42d-75ce-4ef7-b76e-bc2f817fee28;14/4/21;
3b6c0123-22db-4906-a975-c3f50367d89a;54c1392c-5b67-4ff6-8085-fab7d8425f01;a5e247b3-ac28-46e4-b791-a52837a19e1e;15/4/21;
dba4c5eb-d9df-4953-a948-d24722fc9f32;bdc3cc1c-d506-4790-a9ae-ba7ba3bc5d32;85b34e6e-5596-4468-82c7-c509b08bed70;16/4/21;15/10/21
655648d1-175a-460d-ae6d-758232f87881;2108f7ed-ccd8-44e2-917a-ba6175240bcd;4fd0e23f-1fcf-49ce-86bb-addc01bebc78;19/4/21;18/11/21
018b7595-a994-4336-8446-1b2cd206e594;d620432a-2658-4918-a4b5-a6b327f84866;31251f65-3ce0-4fab-afa7-3ee4a8de3b50;23/4/21;
dec0023d-e3d6-4b94-bca3-68a35b07a80c;5ca323a8-9b42-4858-b5e7-284695904824;85b34e6e-5596-4468-82c7-c509b08bed70;23/4/21;
